Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls   s/call   s/call  name    
  0.02    645.04     0.11  2487217     0.00     0.00  VM_cvar
  0.02    645.15     0.11        4     0.03     0.03  PRVM_ChangeEngineString
  0.02    645.26     0.11 55502550     0.00     0.00  BuffBigFloat
  0.02    645.37     0.11  7305881     0.00     0.00  CL_UpdateEntityShading_GetDirectedFullbright
  0.02    645.48     0.11  6946732     0.00     0.00  Matrix4x4_TransformPositivePlane
  0.02    645.59     0.11   876307     0.00     0.00  R_CanSeeBox
  0.02    645.70     0.11    71210     0.00     0.00  S_StartSound_StartPosition_Flags
  0.02    645.81     0.11                             Matrix4x4_CopyTranslateOnly
  0.02    645.92     0.11   405388     0.00     0.00  BIH_GetTriangleListForBox
  0.02    646.03     0.11 38441403     0.00     0.00  u8_getchar_utf8_enabled
  0.02    646.13     0.10 22706334     0.00     0.00  getdrawfont
  0.02    646.23     0.10  9758985     0.00     0.00  VM_drawsubpic
  0.02    646.33     0.10  6757649     0.00     0.00  VM_ftos
  0.02    646.43     0.10  2787233     0.00     0.00  R_Shadow_RenderMode_ShadowMap
  0.02    646.53     0.10   695117     0.00     0.00  RCon_Execute
  0.02    646.63     0.10   192615     0.00     0.00  VID_UpdateGamma
  0.02    646.73     0.10        1     0.10     0.19  Render_Init
  0.02    646.83     0.10                             VM_drawcharacter
  0.01    646.92     0.10                             FontMap_FindForChar
  0.01    647.01     0.09 36143196     0.00     0.00  Font_MapForIndex
  0.01    647.10     0.09 12955249     0.00     0.00  va
  0.01    647.19     0.09  8767489     0.00     0.00  CL_GenericHitSuperContentsMask
  0.01    647.28     0.09  7439693     0.00     0.00  VM_drawstring
  0.01    647.37     0.09  3356064     0.00     0.00  R_TimeReport
  0.01    647.46     0.09  1055648     0.00     0.00  VM_CL_frameduration
  0.01    647.55     0.09   874888     0.00     0.00  R_Shadow_DrawEntityLight
  0.01    647.64     0.09   729792     0.00     0.00  VM_CL_traceline
  0.01    647.73     0.09   198828     0.00     0.00  VID_ApplyJoyState
  0.01    647.82     0.09   192608     0.00     0.00  R_BufferData_NewFrame
  0.01    647.91     0.09     2896     0.00     0.00  Matrix4x4_FromDoom3Joint
  0.01    648.00     0.09      477     0.00     0.00  BIH_BuildNode
  0.01    648.09     0.09                             VM_putentityfieldstring
  0.01    648.18     0.09  8037638     0.00     0.00  VM_CL_tracebox
  0.01    648.27     0.09  5605979     0.00     0.00  DrawQ_Pic
  0.01    648.36     0.09 39221045     0.00     0.00  GL_DepthMask
  0.01    648.44     0.08  8767370     0.00     0.00  VM_SetTraceGlobals
  0.01    648.52     0.08  5024218     0.00     0.00  Collision_ClipTrace_Box
  0.01    648.60     0.08  4964371     0.00     0.00  CL_VM_GetEntitySoundOrigin
  0.01    648.68     0.08  4268461     0.00     0.00  VM_drawpic
  0.01    648.76     0.08  3049304     0.00     0.00  VM_rint
  0.01    648.84     0.08  2317019     0.00     0.00  S_PaintAndSubmit
  0.01    648.92     0.08   745067     0.00     0.00  Matrix4x4_Clear
  0.01    649.00     0.08   632287     0.00     0.00  CL_LinkNetworkEntity
  0.01    649.08     0.08   198827     0.00     0.00  CDAudio_Update
  0.01    649.16     0.08   184049     0.00     0.00  R_Mesh_PrepareVertices_Mesh_Arrays
  0.01    649.24     0.08   145641     0.00     0.00  Mod_Q3BSP_LightPoint
  0.01    649.32     0.08       96     0.00     0.00  VM_registercvar
  0.01    649.40     0.08 45583770     0.00     0.00  GL_PolygonOffset
  0.01    649.48     0.08 36592158     0.00     0.00  VM_strcat
  0.01    649.56     0.08  1518352     0.00     0.00  Collision_CalcPlanesForTriangleBrushFloat
  0.01    649.64     0.08   704968     0.00     0.00  VM_gettime
  0.01    649.71     0.08   967150     0.00     0.00  R_Shadow_ComputeShadowCasterCullingPlanes
  0.01    649.79     0.08   739726     0.00     0.00  VM_strstrofs
  0.01    649.86     0.08     2941     0.00     0.00  R_Mesh_TexBound
  0.01    649.93     0.07 10474619     0.00     0.00  VM_CL_getstati
  0.01    650.00     0.07  7244634     0.00     0.00  Matrix4x4_FromArrayFloatGL
  0.01    650.07     0.07  1329939     0.00     0.00  VM_drawfill
  0.01    650.14     0.07  1318182     0.00     0.00  Mem_ExpandableArray_IndexRange
  0.01    650.21     0.07   743925     0.00     0.00  R_RenderTarget_Get
  0.01    650.28     0.07   184049     0.00     0.00  VM_CL_R_RenderScene
  0.01    650.35     0.07   636968     0.00     0.00  LHNET_Read
  0.01    650.42     0.07    31957     0.00     0.00  VM_CL_sound
